label,3.1.1 - Maternal mortality ratio,3.1.2 - Proportion of births attended by skilled health personnel,3.2.1 - Under-5 mortality rate,3.2.2 - Neonatal mortality rate,"3.3.1 - Number of new HIV infections per 1,000 uninfected population, by sex, age and key populations","3.3.2 - Tuberculosis incidence per 100,000 population","3.3.3 - Malaria incidence per 1,000 population","3.3.4 - Hepatitis B incidence per 100,000 population",3.3.5 - Number of people requiring interventions against neglected tropical diseases,"3.4.1 - Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",3.4.2 - Suicide mortality rate,"3.5.1 - Coverage of treatment interventions (pharmacological, psychosocial and rehabilitation and aftercare services) for substance use disorders","3.5.2 - Harmful use of alcohol, defined according to the national context as alcohol per capita consumption (aged 15 years and older) within a calendar year in litres of pure alcohol",3.6.1 - Death rate due to road traffic injuries,3.7.1 - Proportion of women of reproductive age (aged 15_49 years) who have their need for family planning satisfied with modern methods,"3.7.2 - Adolescent birth rate (aged 10_14 years; aged 15_19 years) per 1,000 women in that age group","3.8.1 - Coverage of essential health services (defined as the average coverage of essential services based on tracer interventions that include reproductive, maternal, newborn and child health, infectious diseases, non-communicable diseases and service capacity and access, among the general and the most disadvantaged population)",3.8.2 - Proportion of population with large household expenditures on health as a share of total household expenditure or income,3.9.1 - Mortality rate attributed to household and ambient air pollution,"3.9.2 - Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (exposure to unsafe Water, Sanitation and Hygiene for All (WASH) services)",3.9.3 - Mortality rate attributed to unintentional poisoning,3.a.1 - Age-standardized prevalence of current tobacco use among persons aged 15 years and older,3.b.1 - Proportion of the target population covered by all vaccines included in their national programme,3.b.2 - Total net official development assistance to medical research and basic health sector,3.b.3 - Proportion of health facilities that have a core set of relevant essential medicines available and affordable on a sustainable basis,3.c.1 - Health worker density and distribution,3.d.1 - International Health Regulations (IHR) capacity and health emergency preparedness
"3.5.1 - Coverage of treatment interventions (pharmacological, psychosocial and rehabilitation and aftercare services) for substance use disorders",2,0,8,4,17,4,1,4,0,12,35,123,42,6,7,6,21,6,3,4,2,33,3,52,5,3,4
"3.5.2 - Harmful use of alcohol, defined according to the national context as alcohol per capita consumption (aged 15 years and older) within a calendar year in litres of pure alcohol",3,0,4,3,12,2,1,4,0,13,10,42,68,5,5,5,4,3,1,0,0,31,0,28,2,0,0
3.6.1 - Death rate due to road traffic injuries,0,0,0,1,0,0,0,0,0,1,1,6,5,31,1,1,6,2,1,0,0,2,2,12,5,5,4
3.7.1 - Proportion of women of reproductive age (aged 15_49 years) who have their need for family planning satisfied with modern methods,61,37,35,23,21,8,9,2,2,4,0,7,5,1,-67,-96,73,5,1,6,0,2,1,13,12,5,6
"3.7.2 - Adolescent birth rate (aged 10_14 years; aged 15_19 years) per 1,000 women in that age group",51,35,28,18,19,5,6,2,1,2,2,6,5,1,-96,-91,59,4,0,6,0,2,1,8,8,6,5
"3.8.1 - Coverage of essential health services (defined as the average coverage of essential services based on tracer interventions that include reproductive, maternal, newborn and child health, infectious diseases, non-communicable diseases and service capacity and access, among the general and the most disadvantaged population)",52,33,53,21,64,14,19,6,24,47,8,21,4,6,73,59,17,-115,3,25,3,2,58,91,-81,58,25
3.8.2 - Proportion of population with large household expenditures on health as a share of total household expenditure or income,9,6,8,4,21,8,7,7,4,11,1,6,3,2,5,4,-115,-95,6,6,3,1,38,34,91,26,6
3.9.1 - Mortality rate attributed to household and ambient air pollution,1,0,2,1,1,0,0,2,2,4,2,3,1,1,1,0,3,6,55,18,25,2,0,9,1,2,3
"3.9.2 - Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (exposure to unsafe Water, Sanitation and Hygiene for All (WASH) services)",7,5,9,2,5,1,2,2,16,4,2,4,0,0,6,6,25,6,18,-39,22,0,1,12,11,7,12
3.9.3 - Mortality rate attributed to unintentional poisoning,1,0,4,2,0,0,0,0,1,7,1,2,0,0,0,0,3,3,25,22,63,0,5,14,7,2,6
3.a.1 - Age-standardized prevalence of current tobacco use among persons aged 15 years and older,0,0,3,3,7,1,0,2,0,26,8,33,31,2,2,2,2,1,2,0,0,76,0,36,0,0,0
3.b.1 - Proportion of the target population covered by all vaccines included in their national programme,6,5,5,7,12,5,5,6,19,3,0,3,0,2,1,1,58,38,0,1,5,0,-71,74,54,13,17
3.b.2 - Total net official development assistance to medical research and basic health sector,29,9,23,20,65,33,25,5,29,-116,26,52,28,12,13,8,91,34,9,12,14,36,74,16,-111,64,21
3.b.3 - Proportion of health facilities that have a core set of relevant essential medicines available and affordable on a sustainable basis,16,9,15,10,42,15,18,3,5,36,0,5,2,5,12,8,-81,91,1,11,7,0,54,-111,-118,37,15
3.c.1 - Health worker density and distribution,9,34,11,6,24,7,5,2,9,19,0,3,0,5,5,6,58,26,2,7,2,0,13,64,37,-24,17
3.d.1 - International Health Regulations (IHR) capacity and health emergency preparedness,3,3,7,4,8,4,3,2,53,1,0,4,0,4,6,5,25,6,3,12,6,0,17,21,15,17,-39
